delay,freq,condition,Percieved delay,,
0.7,1000,exp,500,,mean
0.1,1000,exp,350,expected,452.7777778
0.4,1000,exp,300,unexpected,430
0.7,1000,exp,400,difference ,22.77777778
0.4,1000,exp,230,,
0.1,1000,exp,250,,
0.4,1000,exp,250,,
0.1,1000,exp,430,,
0.7,1000,exp,250,,
0.4,1000,exp,430,,
0.7,1000,exp,300,,
0.4,1000,exp,700,,
0.7,1000,exp,250,,
0.7,1000,exp,540,,
0.4,1000,exp,500,,
0.1,1000,exp,250,,
0.1,1000,exp,350,,
0.1,1000,exp,450,,
0.7,1000,exp,300,,
0.1,1000,exp,400,,
0.1,1000,exp,560,,
0.4,1000,exp,540,,
0.4,1000,exp,540,,
0.1,1000,exp,600,,
0.4,1000,exp,340,,
0.7,1000,exp,450,,
0.7,1000,exp,450,,
0.4,1000,exp,340,,
0.7,1000,exp,230,,
0.7,1000,exp,430,,
0.1,1000,exp,230,,
0.1,1000,exp,450,,
0.4,1000,exp,560,,
0.1,1000,exp,460,,
0.4,1000,exp,650,,
0.7,1000,exp,340,,
0.1,1000,exp,430,,
0.4,1000,exp,340,,
0.7,1000,exp,350,,
0.7,1000,exp,500,,
0.4,1000,exp,600,,
0.1,1000,exp,540,,
0.7,1000,exp,200,,
0.4,1000,exp,200,,
0.1,1000,exp,300,,
0.4,1000,exp,300,,
0.4,1000,exp,400,,
0.7,1000,exp,350,,
0.1,1000,exp,450,,
0.1,1000,exp,600,,
0.7,1000,exp,450,,
0.4,1000,exp,700,,
0.7,1000,exp,350,,
0.4,1000,exp,700,,
0.1,1000,exp,780,,
0.7,1000,exp,650,,
0.4,1000,exp,340,,
0.4,1000,exp,780,,
0.1,1000,exp,800,,
0.1,1000,exp,600,,
0.1,1000,exp,500,,
0.4,1000,exp,600,,
0.7,1000,exp,800,,
0.7,1000,exp,400,,
0.7,1000,exp,500,,
0.4,1000,exp,560,,
0.7,1000,exp,430,,
0.4,1000,exp,300,,
0.1,1000,exp,700,,
0.1,1000,exp,500,,
0.7,1000,exp,300,,
0.4,1000,exp,700,,
0.1,400,unexp,350,,
0.4,400,unexp,570,,
0.7,400,unexp,340,,
0.4,400,unexp,200,,
0.7,400,unexp,400,,
0.1,400,unexp,400,,
0.4,400,unexp,670,,
0.7,400,unexp,400,,
0.1,400,unexp,320,,
0.1,400,unexp,540,,
0.7,400,unexp,340,,
0.4,400,unexp,500,,
0.1,400,unexp,340,,
0.7,400,unexp,400,,
0.1,400,unexp,100,,
0.4,400,unexp,350,,
0.7,400,unexp,800,,
0.1,400,unexp,400,,
0.1,400,unexp,400,,
0.7,400,unexp,450,,
0.4,400,unexp,300,,
0.7,400,unexp,750,,
0.4,400,unexp,430,,
0.1,400,unexp,570,,
